Date,Home-team,Goals,Away-team
23-10-2022,Terek Grozny,1 - 0,Torpedo Moskva
30-10-2022,Spartak M,1 - 0,Torpedo Moskva
06-11-2022,Torpedo Moskva,0 - 2,Krylya Samara
12-11-2022,Torpedo Moskva,0 - 2,Zenit St Petersburg
05-03-2023,Krasnodar,2 - 2,Torpedo Moskva
11-03-2023,Torpedo Moskva,? - ?,Ural
16-07-2022,CSKA Moscow,2 - 0,Ural
23-07-2022,Gazovik Orenburg,3 - 0,Ural
29-07-2022,Ural,1 - 3,Krasnodar
06-08-2022,Ural,0 - 2,Spartak M
12-08-2022,Fakel Voronezh,0 - 0,Ural
20-08-2022,Ural,0 - 1,Nizhny Novgorod
28-08-2022,Ural,0 - 4,Zenit St Petersburg
03-09-2022,Dinamo Moscow,2 - 1,Ural
11-09-2022,Ural,2 - 0,Torpedo Moskva
17-09-2022,Ural,1 - 2,Terek Grozny
01-10-2022,Lokomotiv M,2 - 4,Ural
07-10-2022,Ural,2 - 1,FC Khimki
14-10-2022,Rostov,1 - 2,Ural
24-10-2022,Ural,2 - 1,Krylya Samara
30-10-2022,FK SOCHI,2 - 2,Ural
06-11-2022,Ural,2 - 2,Lokomotiv M
12-11-2022,Ural,2 - 0,Fakel Voronezh
04-03-2023,Spartak M,2 - 2,Ural
11-03-2023,Torpedo Moskva,? - ?,Ural
15-07-2022,FC Khimki,1 - 1,Zenit St Petersburg
22-07-2022,Zenit St Petersburg,3 - 0,Krylya Samara
30-07-2022,Zenit St Petersburg,5 - 0,Lokomotiv M
06-08-2022,Terek Grozny,0 - 0,Zenit St Petersburg
13-08-2022,Zenit St Petersburg,2 - 1,CSKA Moscow
21-08-2022,Zenit St Petersburg,2 - 0,Torpedo Moskva
28-08-2022,Ural,0 - 4,Zenit St Petersburg
04-09-2022,Spartak M,1 - 2,Zenit St Petersburg
11-09-2022,Zenit St Petersburg,8 - 0,Gazovik Orenburg
17-09-2022,Dinamo Moscow,0 - 2,Zenit St Petersburg
02-10-2022,Zenit St Petersburg,3 - 1,Rostov
08-10-2022,Fakel Voronezh,1 - 1,Zenit St Petersburg
16-10-2022,Nizhny Novgorod,0 - 3,Zenit St Petersburg
24-10-2022,Zenit St Petersburg,7 - 0,FK SOCHI
30-10-2022,Krasnodar,0 - 1,Zenit St Petersburg
05-11-2022,Zenit St Petersburg,1 - 2,Terek Grozny
12-11-2022,Torpedo Moskva,0 - 2,Zenit St Petersburg
04-03-2023,Zenit St Petersburg,3 - 0,Nizhny Novgorod
12-03-2023,Zenit St Petersburg,? - ?,FC Khimki
